# Residuals  
# Time       	p_rgh        	Ux           	Uy           	Uz           	SF6          
22.6         	4.068960e-02	1.605140e-06	1.571110e-04	5.798540e-04	2.705640e-04
22.7         	4.066010e-02	1.609510e-06	1.552940e-04	5.797650e-04	2.703950e-04
22.8         	4.066550e-02	1.606700e-06	1.555970e-04	5.820930e-04	2.702900e-04
22.9         	4.066780e-02	1.608370e-06	1.553720e-04	5.800180e-04	2.708480e-04
23           	4.062070e-02	1.418370e-06	1.590240e-04	5.773210e-04	2.710450e-04
23.1         	4.068690e-02	1.604130e-06	1.569250e-04	5.768560e-04	2.717750e-04
23.2         	4.066800e-02	1.604960e-06	1.558590e-04	5.837770e-04	2.721060e-04
23.3         	4.066240e-02	1.604080e-06	1.553340e-04	5.788050e-04	2.708110e-04
23.4         	4.061780e-02	1.414270e-06	1.590590e-04	5.782070e-04	2.718400e-04
23.5         	4.068320e-02	1.599810e-06	1.567840e-04	5.762260e-04	2.713820e-04
23.6         	4.066690e-02	1.595770e-06	1.556920e-04	5.800290e-04	2.709950e-04
23.7         	4.066080e-02	1.598660e-06	1.553710e-04	5.773420e-04	2.690110e-04
23.8         	4.067090e-02	1.597200e-06	1.557390e-04	5.814180e-04	2.723020e-04
23.9         	4.061050e-02	1.413970e-06	1.590720e-04	5.777070e-04	2.725880e-04
24           	4.068900e-02	1.592720e-06	1.572490e-04	5.801180e-04	2.719840e-04
24.1         	4.066170e-02	1.592550e-06	1.550760e-04	5.751740e-04	2.724010e-04
24.2         	4.067140e-02	1.592110e-06	1.558940e-04	5.810870e-04	2.721030e-04
24.3         	4.066780e-02	1.591380e-06	1.550260e-04	5.730640e-04	2.698400e-04
24.4         	4.067340e-02	1.594660e-06	1.557970e-04	5.831340e-04	2.708330e-04
24.5         	4.061100e-02	1.407030e-06	1.586970e-04	5.744960e-04	2.698190e-04
24.6         	4.069890e-02	1.589330e-06	1.572930e-04	5.803870e-04	2.708830e-04
24.7         	4.066720e-02	1.593090e-06	1.552940e-04	5.790440e-04	2.721820e-04
24.8         	4.067560e-02	1.587100e-06	1.557580e-04	5.814240e-04	2.703530e-04
24.9         	4.066390e-02	1.588620e-06	1.554590e-04	5.784480e-04	2.717560e-04
25           	4.067070e-02	1.587680e-06	1.557330e-04	5.822770e-04	2.719270e-04
25.1         	4.061310e-02	1.402430e-06	1.586430e-04	5.741280e-04	2.694960e-04
25.2         	4.069000e-02	1.585490e-06	1.572680e-04	5.804860e-04	2.713270e-04
25.3         	4.067130e-02	1.586070e-06	1.554130e-04	5.772210e-04	2.698300e-04
25.4         	4.066890e-02	1.582760e-06	1.557840e-04	5.813650e-04	2.711790e-04
25.5         	4.066620e-02	1.588570e-06	1.555820e-04	5.778790e-04	2.691640e-04
25.6         	4.066710e-02	1.587240e-06	1.556170e-04	5.824970e-04	2.725140e-04
25.7         	4.066290e-02	1.587880e-06	1.554270e-04	5.814170e-04	2.702940e-04
25.8         	4.062890e-02	1.399250e-06	1.592010e-04	5.784150e-04	2.704860e-04
25.9         	4.069140e-02	1.582660e-06	1.568220e-04	5.751740e-04	2.694900e-04
26           	4.067270e-02	1.580150e-06	1.555790e-04	5.809060e-04	2.707450e-04
26.1         	4.066090e-02	1.574690e-06	1.551740e-04	5.746390e-04	2.695200e-04
26.2         	4.067290e-02	1.579580e-06	1.557140e-04	5.806810e-04	2.696330e-04
26.3         	4.066750e-02	1.583680e-06	1.554010e-04	5.775160e-04	2.716160e-04
26.4         	4.067030e-02	1.580930e-06	1.556040e-04	5.804930e-04	2.737240e-04
26.5         	4.066770e-02	1.583930e-06	1.555640e-04	5.785800e-04	2.697660e-04
26.6         	4.066860e-02	1.579310e-06	1.557120e-04	5.818110e-04	2.715790e-04
26.7         	4.066120e-02	1.584980e-06	1.554750e-04	5.809760e-04	2.710410e-04
26.8         	4.062890e-02	1.394040e-06	1.589630e-04	5.774490e-04	2.703110e-04
26.9         	4.068530e-02	1.578240e-06	1.568440e-04	5.753600e-04	2.701970e-04
27           	4.067010e-02	1.578240e-06	1.557570e-04	5.823120e-04	2.726630e-04
27.1         	4.066680e-02	1.574340e-06	1.553120e-04	5.751380e-04	2.686400e-04
27.2         	4.066710e-02	1.574900e-06	1.558730e-04	5.803410e-04	2.706500e-04
27.3         	4.066350e-02	1.579320e-06	1.553080e-04	5.784590e-04	2.704170e-04
27.4         	4.067970e-02	1.571010e-06	1.556710e-04	5.798490e-04	2.709720e-04
27.5         	4.066180e-02	1.577530e-06	1.553340e-04	5.772750e-04	2.708410e-04
27.6         	4.067040e-02	1.572730e-06	1.555580e-04	5.805770e-04	2.712480e-04
27.7         	4.062430e-02	1.388380e-06	1.586200e-04	5.730140e-04	2.704050e-04
27.8         	4.069420e-02	1.573550e-06	1.574080e-04	5.812540e-04	2.716220e-04
27.9         	4.065780e-02	1.581070e-06	1.554200e-04	5.805020e-04	2.702560e-04
28           	4.067370e-02	1.573370e-06	1.557950e-04	5.816140e-04	2.694820e-04
28.1         	4.066900e-02	1.573370e-06	1.553170e-04	5.769920e-04	2.696450e-04
28.2         	4.067510e-02	1.570860e-06	1.557120e-04	5.801760e-04	2.721840e-04
28.3         	4.066920e-02	1.574860e-06	1.552510e-04	5.751570e-04	2.709960e-04
28.4         	4.066960e-02	1.570480e-06	1.556030e-04	5.798710e-04	2.719140e-04
28.5         	4.066200e-02	1.572820e-06	1.552500e-04	5.753530e-04	2.707320e-04
28.6         	4.067250e-02	1.572180e-06	1.555410e-04	5.798220e-04	2.711020e-04
28.7         	4.066430e-02	1.573710e-06	1.552560e-04	5.759650e-04	2.707560e-04
28.8         	4.067060e-02	1.570830e-06	1.556710e-04	5.795230e-04	2.718820e-04
28.9         	4.066960e-02	1.572560e-06	1.552890e-04	5.761150e-04	2.693360e-04
29           	4.066840e-02	1.569590e-06	1.556070e-04	5.791070e-04	2.723530e-04
29.1         	4.066710e-02	1.568380e-06	1.553040e-04	5.732940e-04	2.682510e-04
29.2         	4.067250e-02	1.568910e-06	1.557880e-04	5.797960e-04	2.711750e-04
29.3         	4.067300e-02	1.572260e-06	1.554050e-04	5.745800e-04	2.717390e-04
29.4         	4.067760e-02	1.569140e-06	1.556980e-04	5.808950e-04	2.729990e-04
29.5         	4.067040e-02	1.576600e-06	1.553930e-04	5.774110e-04	2.705550e-04
29.6         	4.067330e-02	1.570150e-06	1.557100e-04	5.813000e-04	2.692590e-04
29.7         	4.066170e-02	1.569440e-06	1.553270e-04	5.780770e-04	2.705520e-04
29.8         	4.067190e-02	1.566070e-06	1.556090e-04	5.805860e-04	2.715340e-04
29.9         	4.066290e-02	1.571480e-06	1.551850e-04	5.770290e-04	2.704560e-04
30           	4.067630e-02	1.570250e-06	1.555810e-04	5.813550e-04	2.699850e-04
30.1         	4.066530e-02	1.572210e-06	1.551650e-04	5.762680e-04	2.716900e-04
30.2         	4.067240e-02	1.568980e-06	1.559810e-04	5.820630e-04	2.701940e-04
30.3         	4.066480e-02	1.568770e-06	1.553820e-04	5.774270e-04	2.695610e-04
30.4         	4.067040e-02	1.570380e-06	1.556540e-04	5.815940e-04	2.691680e-04
30.5         	4.066280e-02	1.566790e-06	1.553210e-04	5.753240e-04	2.691460e-04
30.6         	4.067230e-02	1.564980e-06	1.557070e-04	5.788220e-04	2.702570e-04
30.7         	4.067270e-02	1.566320e-06	1.552080e-04	5.753760e-04	2.697000e-04
30.8         	4.066990e-02	1.569120e-06	1.558810e-04	5.829180e-04	2.722380e-04
